stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
9,2250,"THREE CHOPT + DRIVE TO D FREEMAN HIGH SCHOOL",,37.602592,-77.558135,,,,,,0
10,2249,"THREE CHOPT + CAMDEN",,37.601768,-77.554793,,,,,,0
11,2248,"THREE CHOPT + BEVERLY",,37.600867,-77.551260,,,,,,0
12,2163,"SANTA ROSA + THREE CHOPT",,37.600843,-77.548153,,,,,,0
13,2161,"SANTA ROSA + FRANKLIN FARMS",,37.602115,-77.548128,,,,,,0
14,2603,"ROLLING HILLS & DISCOVERY",,37.602838,-77.546095,,,,,,0
15,908,"FOREST + HENRICO DOCTORS HOSPITAL",,37.605132,-77.539888,,,,,,0
16,2197,"SKIPWITH + SCHOOL BUILDING",,37.603553,-77.537822,,,,,,0
17,2195,"SKIPWITH + PARKLINE",,37.599107,-77.537681,,,,,,0
18,2261,"THREE CHOPT + SKIPWITH",,37.597120,-77.537297,,,,,,0
19,2253,"THREE CHOPT + PARK",,37.593047,-77.531742,,,,,,0
20,2068,"PATTERSON + THREE CHOPT",,37.590503,-77.530938,,,,,,0
21,2054,"PATTERSON + RIPLEY",,37.589392,-77.529287,,,,,,0
22,2036,"PATTERSON + HONAKER",,37.587675,-77.526758,,,,,,0
23,2020,"PATTERSON + CHANTECLER",,37.585945,-77.524229,,,,,,0
25,2049,"PATTERSON + PEPPER",,37.584043,-77.521370,,,,,,0
26,2016,"PATTERSON + ALGOMA",,37.581922,-77.518208,,,,,,0
27,2045,"PATTERSON + MAPLE",,37.580834,-77.516670,,,,,,0
28,2041,"PATTERSON + LIBBIE",,37.580074,-77.515527,,,,,,0
29,2027,"PATTERSON + GRANITE",,37.578523,-77.513217,,,,,,0
31,2047,"PATTERSON + MATOAKA",,37.576462,-77.509783,,,,,,0
32,2066,"PATTERSON + WILLOW LAWN",,37.575937,-77.508767,,,,,,0
33,2029,"PATTERSON + GREENWAY LANE",,37.575015,-77.506947,,,,,,0
34,2034,"PATTERSON + HARLAN CIRCLE",,37.574033,-77.505047,,,,,,0
35,2040,"PATTERSON + LEXINGTON",,37.573275,-77.503568,,,,,,0
37,2019,"PATTERSON + BUNTING",,37.571545,-77.500215,,,,,,0
38,2063,"PATTERSON + WESTMORELAND",,37.569635,-77.496463,,,,,,0
40,2058,"PATTERSON + SAUER",,37.567485,-77.492460,,,,,,0
41,2043,"PATTERSON + MALVERN",,37.566050,-77.489518,,,,,,0
43,2031,"PATTERSON + HAMILTON",,37.564198,-77.485973,,,,,,0
44,2061,"PATTERSON + THOMPSON",,37.562880,-77.483303,,,,,,0
45,2056,"PATTERSON + ROSENEATH",,37.561742,-77.481182,,,,,,0
47,2023,"PATTERSON + CLEVELAND",,37.560897,-77.477502,,,,,,0
48,2018,"PATTERSON + BELMONT",,37.560658,-77.475395,,,,,,0
49,2193,"SHEPPARD + PARK",,37.560725,-77.474045,,,,,,0
50,2192,"SHEPPARD + MONUMENT",,37.561488,-77.473322,,,,,,0
51,2188,"SHEPPARD + GRACE",,37.562708,-77.472137,,,,,,0
52,469,"BROAD + SHEPPARD",,37.563070,-77.471335,,,,,,0
53,398,"BROAD + BOULEVARD",,37.562053,-77.469570,,,,,,0
54,459,"BROAD + ROBINSON",,37.560515,-77.467057,,,,,,0
55,300,"BREMO & MONUMENT",,37.584563,-77.512946,,,,,,0
56,1796,"MONUMENT + LIBBIE",,37.583768,-77.510498,,,,,,0
77,391,"BROAD + ALLISON",,37.557808,-77.462608,,,,,,0
80,447,"BROAD + LOMBARDY",,37.554065,-77.456347,,,,,,0
81,463,"BROAD + RYLAND",,37.552667,-77.453978,,,,,,0
84,446,"BROAD & LAUREL",,37.549331,-77.448410,,,,,,0
85,435,"BROAD + HENRY",,37.548248,-77.446443,,,,,,0
91,370,"Broad & 4th",,37.543258,-77.438220,,,,,,0
100,359,"BROAD + 18TH",,37.535568,-77.425369,,,,,,0
101,361,"BROAD + 19TH",,37.534980,-77.424400,,,,,,0
103,1659,"MARSHALL + 22ND",,37.534144,-77.420799,,,,,,0
104,1661,"MARSHALL + 24TH",,37.532850,-77.418597,,,,,,0
106,1664,"MARSHALL + 27TH",,37.531440,-77.416340,,,,,,0
107,1666,"MARSHALL + 29TH",,37.530307,-77.414488,,,,,,0
108,1669,"MARSHALL + 31ST",,37.529198,-77.412692,,,,,,0
109,1671,"MARSHALL + 33RD",,37.528102,-77.410903,,,,,,0
111,736,"CHIMBORAZO BOULEVARD + LEIGH",,37.529057,-77.408281,,,,,,0
113,734,"CHIMBORAZO BOULEVARD + N",,37.530863,-77.406532,,,,,,0
114,735,"CHIMBORAZO BOULEVARD + O",,37.532020,-77.405403,,,,,,0
116,1987,"P + 35TH",,37.531952,-77.403623,,,,,,0
117,2094,"R + 36TH",,37.532330,-77.401398,,,,,,0
119,63,"21ST + MARSHALL",,37.534149,-77.422238,,,,,,0
120,362,"BROAD + 19TH",,37.534962,-77.424151,,,,,,0
122,358,"BROAD + 17TH",,37.536062,-77.425916,,,,,,0
125,384,"BROAD + 9TH",,37.540790,-77.433617,,,,,,0
128,371,"BROAD + 4TH",,37.543761,-77.438541,,,,,,0
134,434,"BROAD + HENRY",,37.548473,-77.446407,,,,,,0
135,428,"BROAD + GILMER",,37.549384,-77.447967,,,,,,0
138,464,"BROAD + RYLAND",,37.552809,-77.453686,,,,,,0
139,400,"BROAD + BOWE",,37.554009,-77.455701,,,,,,0
141,453,"BROAD + MEADOW",,37.557047,-77.460852,,,,,,0
145,460,"BROAD + ROBINSON",,37.560809,-77.467093,,,,,,0
146,1965,"OAKWOOD + Q",,37.533365,-77.403653,,,,,,0
147,741,"CHIMBORAZO BOULEVARD + P",,37.532528,-77.405110,,,,,,0
148,740,"CHIMBORAZO BOULEVARD + N",,37.531142,-77.406422,,,,,,0
150,737,"CHIMBORAZO BOULEVARD + LEIGH",,37.529382,-77.408098,,,,,,0
151,1678,"MARSHALL + CHIMBORAZO BOULEVARD",,37.527728,-77.409997,,,,,,0
152,1672,"MARSHALL + 33RD",,37.528376,-77.411059,,,,,,0
153,1670,"MARSHALL + 31ST",,37.529140,-77.412301,,,,,,0
154,1667,"MARSHALL + 29TH",,37.530203,-77.414138,,,,,,0
155,1665,"MARSHALL + 27TH",,37.531377,-77.416053,,,,,,0
156,1663,"MARSHALL + 25TH",,37.532732,-77.418255,,,,,,0
157,1660,"MARSHALL + 23RD",,37.534360,-77.420871,,,,,,0
158,125,"35TH + CANEPA",,37.533125,-77.399413,,,,,,0
162,1966,"OAKWOOD & CANEPA",,37.534138,-77.399395,,,,,,0
168,2191,"SHEPPARD + MONUMENT",,37.561922,-77.473054,,,,,,0
184,1805,"Monument & Westlyn",,37.577895,-77.500076,,,,,,0
187,1558,"LIBBIE + MONUMENT",,37.583980,-77.509768,,,,,,0
189,1557,"LIBBIE + FITZHUGH",,37.586612,-77.507124,,,,,,0
191,1561,"LIBBIE + CONVALESCENT CENTER",,37.588752,-77.505087,,,,,,0
192,2413,"LIBBIE + FITZHUGH",,37.587222,-77.506803,,,,,,0
194,2415,"LIBBIE + MORNINGSIDE",,37.584262,-77.509657,,,,,,0
195,2380,"WILLOW LAWN & WYTHE",,37.578205,-77.502615,,,,,,0
202,1335,"Idlewood & Temple",,37.543856,-77.462489,,,,,,0
204,1334,"IDLEWOOD + RANDOLPH",,37.542971,-77.459959,,,,,,0
205,1177,"HARRISON + GRAYLAND",,37.542417,-77.456907,,,,,,0
206,1172,"HARRISON + CARY",,37.544390,-77.455862,,,,,,0
207,1181,"HARRISON + MAIN",,37.545713,-77.455185,,,,,,0
208,1178,"HARRISON + GROVE",,37.548390,-77.455232,,,,,,0
209,1174,"HARRISON + FRANKLIN",,37.549649,-77.454307,,,,,,0
210,1176,"HARRISON + GRACE",,37.550787,-77.453152,,,,,,0
211,1379,"JEFFERSON + MARSHALL",,37.534692,-77.420866,,,,,,0
212,1377,"JEFFERSON + 23RD",,37.534815,-77.418836,,,,,,0
214,1597,"M + 27TH",,37.534043,-77.413907,,,,,,0
215,1599,"M + 29TH",,37.532668,-77.411667,,,,,,0
228,1452,"Kane & 29th",,37.546696,-77.397805,,,,,,0
229,801,"CREIGHTON + KANE",,37.545685,-77.397902,,,,,,0
230,800,"CREIGHTON AT COMMUNITY CENTER",,37.544803,-77.398878,,,,,,0
232,802,"CREIGHTON + NINE MILE",,37.542610,-77.400332,,,,,,0
233,1867,"NINE MILE + 30TH",,37.541732,-77.401763,,,,,,0
234,1865,"NINE MILE + 29TH",,37.541473,-77.403433,,,,,,0
235,105,"28TH + U",,37.540387,-77.406219,,,,,,0
241,1600,"M + 30TH",,37.532666,-77.411318,,,,,,0
242,1598,"M + 27TH",,37.533960,-77.413451,,,,,,0
244,1378,"JEFFERSON + 23RD",,37.535000,-77.418215,,,,,,0
245,1171,"HARRISON + BROAD",,37.551607,-77.452675,,,,,,0
246,1175,"HARRISON + FRANKLIN",,37.550037,-77.454105,,,,,,0
247,1183,"HARRISON + PARK",,37.549003,-77.455050,,,,,,0
249,1182,"HARRISON + MAIN",,37.545558,-77.455377,,,,,,0
251,1184,"HARRISON + PARKWOOD",,37.543722,-77.456405,,,,,,0
252,1180,"HARRISON + IDLEWOOD",,37.542118,-77.457283,,,,,,0
253,2097,"IDLEWOOD + RANDOLPH",,37.542979,-77.459785,,,,,,0
257,1575,"LOMBARDY + BETWEEN LAKEVIEW AND CLAIBORNE",,37.541147,-77.464055,,,,,,0
259,2381,"WINDER + LOMBARDY",,37.539172,-77.464842,,,,,,0
260,2382,"WINDER + RANDOLPH",,37.538378,-77.462592,,,,,,0
263,772,"COLORADO + COLORADO MANOR",,37.537452,-77.468052,,,,,,0
278,608,"CARY + 10TH",,37.536502,-77.435829,,,,,,0
279,1609,"MAIN + 13TH",,37.536259,-77.433173,,,,,,0
280,1610,"MAIN + 14TH",,37.535295,-77.431702,,,,,,0
293,185,"ACCOMODATION + GAY",,37.548653,-77.417372,,,,,,0
294,770,"COALTER + RICHMOND",,37.547632,-77.418907,,,,,,0
295,769,"COALTER + REDD",,37.545883,-77.419662,,,,,,0
296,164,"7TH + MARSHALL",,37.542527,-77.434865,,,,,,0
297,1675,"MARSHALL + 7TH",,37.542469,-77.434554,,,,,,0
298,177,"8TH + MARSHALL",,37.541891,-77.434320,,,,,,0
304,19,"17TH + MARSHALL",,37.536748,-77.425495,,,,,,0
307,1614,"MAIN + 17TH",,37.533863,-77.429037,,,,,,0
309,1608,"MAIN + 13TH",,37.536260,-77.432866,,,,,,0
310,1607,"MAIN + 11TH",,37.537213,-77.434363,,,,,,0
311,1606,"MAIN + 9TH",,37.538202,-77.436136,,,,,,0
312,1631,"MAIN + 8TH",,37.538738,-77.437021,,,,,,0
313,167,"7TH + FRANKLIN",,37.540019,-77.437346,,,,,,0
331,616,"CARY + BELMONT",,37.552827,-77.480022,,,,,,0
332,650,"CARY + SHEPPARD",,37.552382,-77.478512,,,,,,0
333,619,"CARY + BOULEVARD",,37.551618,-77.476405,,,,,,0
