trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
127020,18,2,"HENRICO GOVERNMENT CENTER",,1,59861802,shp-18-12,0,0
341070,19,3,"WEST BROAD/SHORT PUMP",,0,59888307,shp-19-61,0,0
961020,78,2,"CARY/COLORADO/DOWNTOWN",,1,59856302,shp-78-20,0,0
1138010,1A,1,"MIDLOTHIAN/HULL/TRANSFER STATION",,1,59830501,shp-1A-39,0,0
3510010,12,1,"FAIRFIELD/DOWNTOWN",,0,59828201,shp-12-74,0,0
2411010,1,1,"CHAMBERLAYNE/TRANSFER STATION",,0,59791501,shp-1-70,0,0
925020,3B,2,"U.S. 1/HIGHLAND PARK",,1,59854202,shp-3B-13,0,0
2345020,3A,2,"U.S. 1/HIGHLAND PARK",,1,59860002,shp-3A-11,0,0
3045020,19,2,"WEST BROAD/WILLOW LAWN",,1,59860302,shp-19-17,0,0
898010,12,1,"FAIRFIELD/DOWNTOWN",,0,59832601,shp-12-74,0,0
4139010,1C,1,"HULL/ELKHARDT VIA SOUTHSIDE PLAZA",,0,59834301,shp-1C-77,0,0
3898020,4A,2,"OAKWOOD/MONTROSE",,1,59856802,shp-4A-08,0,0
1426020,3A,2,"U.S. 1/HIGHLAND PARK",,1,59857802,shp-3A-11,0,0
4211020,79,2,"PATTERSON/WILLOW LAWN",,1,59859702,shp-79-07,0,0
2584070,5,3,"CARY/MAIN/WHITCOMB",,1,59813107,shp-5-36,0,0
219070,2B,3,"JAHNKE/FOREST HILL/NORTH AVE",,1,59887207,shp-2B-28,0,0
4328070,1B,3,"HULL/WARWICK VIA SOUTHSIDE PLAZA",,0,59889707,shp-1B-65,0,0
3217070,50,3,"BROAD/DOWNTOWN",,1,59891907,shp-50-12,0,0
4423010,1,1,"CHAMBERLAYNE/TRANSFER STATION",,0,59840101,shp-1-70,0,0
1277070,14,3,"HERMITAGE/AZALEA",,0,59884507,shp-14-25,0,0
4503010,50,1,"BROAD/WILLOW LAWN",,0,59827501,shp-50-56,0,0
753020,1,2,"CHAMBERLAYNE/AZALEA",,1,59855402,shp-1-21,0,0
2937010,14,1,"HERMITAGE/MAIN 23RD",,1,59832601,shp-14-24,0,0
373010,5,1,"CARY/MAIN/WHITCOMB",,1,59828901,shp-5-36,0,0
2740070,BRT,3,"MAIN/BROAD/WILLOW LAWN",,0,59884707,shp-108-52,0,0
2628020,3A,2,"U.S. 1/HARWOOD",,0,59856102,shp-3A-56,0,0
3228070,5,3,"MAIN/CARY",,0,59886907,shp-5-71,0,0
1818010,77,1,"GROVE/U OF R",,0,59834401,shp-77-61,0,0
2943010,86,1,"BROAD ROCK/WALMSLEY",,0,59837901,shp-86-54,0,0
4616020,2C,2,"MIDLOTHIAN/SEMMES/NORTH AVE",,1,59805802,shp-2C-31,0,0
1260010,BRT,1,"BROAD/MAIN/ROCKETTS",,1,59829701,shp-108-03,0,0
1778070,20,3,"HIGHLAND PARK/CARYTOWN/SS PLAZA",,0,59890707,shp-20-11,0,0
1509020,3B,2,"U.S. 1/HIGHLAND PARK",,1,59857602,shp-3B-13,0,0
3669020,50,2,"BROAD/DOWNTOWN",,1,59854502,shp-50-12,0,0
2817010,1A,1,"HULL/MIDLOTHIAN VIA SOUTHSIDE PLAZA",,0,59832401,shp-1A-83,0,0
2986010,3C,1,"U.S. 1/HIGHLAND PARK",,1,59830601,shp-3C-21,0,0
2033010,1A,1,"MIDLOTHIAN/HULL/TRANSFER STATION",,1,59830501,shp-1A-39,0,0
4550070,BRT,3,"BROAD/MAIN/ROCKETTS",,1,59887607,shp-108-03,0,0
1880010,1C,1,"HULL/ELKHARDT VIA SOUTHSIDE PLAZA",,0,59834301,shp-1C-77,0,0
3206070,1A,3,"MIDLOTHIAN/HULL/TRANSFER STATION",,1,59883107,shp-1A-39,0,0
950010,3C,1,"U.S. 1/HARWOOD",,0,59828501,shp-3C-71,0,0
2244070,20,3,"HIGHLAND PARK/CARYTOWN/SS PLAZA",,0,59887407,shp-20-11,0,0
126070,3B,3,"U.S. 1/BRIGHTPOINT",,0,59815507,shp-3B-62,0,0
1503020,2B,2,"JAHNKE/FOREST HILL/NORTH AVE",,1,59855502,shp-2B-28,0,0
1743070,88,3,"U.S. 1/RUFFIN",,1,59889907,shp-88-07,0,0
