service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20241215,20250301
2,1,1,1,1,1,0,0,20241215,20250301
3,0,0,0,0,0,1,0,20241215,20250301
4,0,0,0,0,1,0,0,20241215,20250301
5,1,1,0,1,0,0,0,20241215,20250301
6,1,1,1,1,1,0,0,20241215,20250301
7,1,1,0,1,1,0,0,20241215,20250301
8,0,0,1,0,0,0,0,20241215,20250301
9,1,1,0,1,1,0,0,20241215,20250301
10,1,1,0,1,1,0,0,20241215,20250301
11,1,0,0,1,1,0,0,20241215,20250301
12,1,1,1,1,1,0,0,20241215,20250301
13,0,0,0,0,1,0,0,20241215,20250301
14,1,1,0,1,0,0,0,20241215,20250301
15,1,1,0,1,1,0,0,20241215,20250301
16,1,1,0,1,1,0,0,20241215,20250301
17,1,1,0,1,1,0,0,20241215,20250301
18,1,1,1,1,1,0,0,20241215,20250301
19,1,1,0,1,1,0,0,20241215,20250301
20,0,0,0,0,1,0,0,20241215,20250301
21,1,1,0,1,1,0,0,20241215,20250301
22,1,1,0,1,1,0,0,20241215,20250301
23,1,1,1,1,1,0,0,20241215,20250301
24,0,0,1,0,0,0,0,20241215,20250301
25,0,1,0,0,0,0,0,20241215,20250301
26,1,1,1,1,1,0,0,20241215,20250301
27,1,1,1,1,1,0,0,20241215,20250301
28,1,1,1,1,1,0,0,20241215,20250301
29,1,1,1,1,1,0,0,20241215,20250301
30,1,1,0,1,1,0,0,20241215,20250301
31,0,0,0,0,0,0,1,20241215,20250301
32,1,1,1,1,0,0,0,20241215,20250301
33,1,1,1,1,1,0,0,20241215,20250301
34,0,0,1,1,0,0,0,20241215,20250301
35,1,1,0,1,1,0,0,20241215,20250301
36,1,1,1,1,1,0,0,20241215,20250301
37,1,1,1,1,1,0,0,20241215,20250301
38,0,0,1,0,1,0,0,20241215,20250301
39,1,1,1,1,1,0,0,20241215,20250301
40,1,1,1,1,1,0,0,20241215,20250301
41,1,1,1,1,0,0,0,20241215,20250301
42,1,1,0,0,1,0,0,20241215,20250301
43,1,1,0,1,1,0,0,20241215,20250301
44,1,1,0,1,1,0,0,20241215,20250301
29-1,1,1,1,1,0,0,1,20241215,20250228
3-1,0,0,0,0,1,0,0,20241215,20250228
31-1,0,0,0,0,0,1,0,20241215,20250228
