trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
12466010,10,31,"Hayward BART",,0,10002,shp-10-02,0,0
9995070,10,3,"Hayward BART",,0,10004,shp-10-02,0,0
7999020,10,29,"Hayward BART",,0,10006,shp-10-02,0,0
10813010,10,31,"Hayward BART",,0,801003,shp-10-02,0,0
1559020,10,29,"Hayward BART",,0,10002,shp-10-02,0,0
4764070,10,3,"Hayward BART",,0,10007,shp-10-02,0,0
11351070,10,3,"Hayward BART",,0,10003,shp-10-02,0,0
13124020,10,29,"Hayward BART",,0,10002,shp-10-02,0,0
12918020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
4145070,10,3,"Hayward BART",,0,10006,shp-10-02,0,0
12135020,10,29,"Hayward BART",,0,10005,shp-10-02,0,0
7415070,10,3,"Hayward BART",,0,10007,shp-10-02,0,0
1179070,10,3,"Hayward BART",,0,10007,shp-10-02,0,0
8057070,10,3,"Hayward BART",,0,10006,shp-10-02,0,0
9850020,10,29,"Hayward BART",,0,10003,shp-10-02,0,0
11289010,10,31,"Hayward BART",,0,10001,shp-10-02,0,0
13726020,10,29,"Hayward BART",,0,10004,shp-10-02,0,0
11914010,10,31,"Hayward BART",,0,10007,shp-10-02,0,0
5068020,10,29,"Hayward BART",,0,10005,shp-10-02,0,0
6646020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
10758070,10,3,"Hayward BART",,0,10001,shp-10-02,0,0
13980070,10,3,"Hayward BART",,0,801005,shp-10-02,0,0
11295070,10,3,"Hayward BART",,0,10001,shp-10-02,0,0
728010,10,31,"Hayward BART",,0,10001,shp-10-02,0,0
14163070,10,3,"Hayward BART",,0,10006,shp-10-02,0,0
5697020,10,29,"Hayward BART",,0,10002,shp-10-02,0,0
13853010,10,31,"Hayward BART",,0,10004,shp-10-02,0,0
10622070,10,3,"Hayward BART",,0,10005,shp-10-02,0,0
784010,10,31,"Hayward BART",,0,10007,shp-10-02,0,0
7878070,10,3,"Hayward BART",,0,10001,shp-10-02,0,0
8119020,10,29,"Hayward BART",,0,10002,shp-10-02,0,0
6533020,10,29,"Hayward BART",,0,10005,shp-10-02,0,0
14686010,10,31,"Hayward BART",,0,10001,shp-10-02,0,0
13762070,10,3,"Hayward BART",,0,10006,shp-10-02,0,0
2676070,10,3,"Hayward BART",,0,10005,shp-10-02,0,0
7880010,10,31,"Hayward BART",,0,10006,shp-10-02,0,0
3313010,10,31,"Hayward BART",,0,10003,shp-10-02,0,0
1163020,10,29,"Hayward BART",,0,10003,shp-10-02,0,0
6079070,10,3,"Hayward BART",,0,10005,shp-10-02,0,0
10967070,10,3,"Hayward BART",,0,10004,shp-10-02,0,0
11129070,10,3,"Hayward BART",,0,10007,shp-10-02,0,0
7517070,10,3,"Hayward BART",,0,801003,shp-10-02,0,0
4352010,10,31,"Hayward BART",,0,10005,shp-10-02,0,0
13129010,10,31,"Hayward BART",,0,10005,shp-10-02,0,0
6853020,10,29,"Hayward BART",,0,10003,shp-10-02,0,0
10133020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
7726020,10,29,"Hayward BART",,0,10006,shp-10-02,0,0
1654070,10,3,"Hayward BART",,0,10007,shp-10-02,0,0
6634020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
2370020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
13730010,10,31,"Hayward BART",,0,10007,shp-10-02,0,0
13647020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
88020,10,29,"Hayward BART",,0,10003,shp-10-02,0,0
11036010,10,31,"Hayward BART",,0,10001,shp-10-02,0,0
8751070,10,3,"Hayward BART",,0,10003,shp-10-02,0,0
12376070,10,3,"Hayward BART",,0,10004,shp-10-02,0,0
10030010,10,31,"Hayward BART",,0,10004,shp-10-02,0,0
13580070,10,3,"Hayward BART",,0,10003,shp-10-02,0,0
5733020,10,29,"Hayward BART",,0,10003,shp-10-02,0,0
13561010,10,31,"Hayward BART",,0,10005,shp-10-02,0,0
1127020,10,29,"Hayward BART",,0,10004,shp-10-02,0,0
10198020,10,29,"Hayward BART",,0,10004,shp-10-02,0,0
14765070,10,3,"Hayward BART",,0,10005,shp-10-02,0,0
1918020,10,29,"Hayward BART",,0,10003,shp-10-02,0,0
1149010,10,31,"Hayward BART",,0,10005,shp-10-02,0,0
100020,10,29,"Hayward BART",,0,10005,shp-10-02,0,0
6925010,10,31,"Hayward BART",,0,10002,shp-10-02,0,0
12131010,10,31,"Hayward BART",,0,10001,shp-10-02,0,0
4110010,10,31,"Hayward BART",,0,10005,shp-10-02,0,0
5506020,10,29,"Hayward BART",,0,10003,shp-10-02,0,0
2462020,10,29,"Hayward BART",,0,10004,shp-10-02,0,0
6141010,10,31,"Hayward BART",,0,10006,shp-10-02,0,0
7408070,10,3,"Hayward BART",,0,10004,shp-10-02,0,0
13181010,10,31,"Hayward BART",,0,10004,shp-10-02,0,0
5128010,10,31,"Hayward BART",,0,10001,shp-10-02,0,0
12927070,10,3,"Hayward BART",,0,10001,shp-10-02,0,0
6733020,10,29,"Hayward BART",,0,10004,shp-10-02,0,0
424010,10,31,"Hayward BART",,0,10004,shp-10-02,0,0
428070,10,3,"Hayward BART",,0,10001,shp-10-02,0,0
5594020,10,29,"Hayward BART",,0,10003,shp-10-02,0,0
5472020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
14690070,10,3,"Hayward BART",,0,10002,shp-10-02,0,0
4280020,10,29,"Hayward BART",,0,10004,shp-10-02,0,0
6599020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
11304010,10,31,"Hayward BART",,0,10002,shp-10-02,0,0
8035070,10,3,"Hayward BART",,0,10005,shp-10-02,0,0
12903070,10,3,"Hayward BART",,0,10004,shp-10-02,0,0
13331070,10,3,"Hayward BART",,0,10006,shp-10-02,0,0
828010,10,31,"Hayward BART",,0,801005,shp-10-02,0,0
343020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
13582070,10,3,"Hayward BART",,0,10002,shp-10-02,0,0
8277070,10,3,"Hayward BART",,0,10006,shp-10-02,0,0
13038070,10,3,"Hayward BART",,0,10007,shp-10-02,0,0
9242070,10,3,"Hayward BART",,0,10004,shp-10-02,0,0
1197010,10,31,"Hayward BART",,0,10003,shp-10-02,0,0
7371010,10,31,"Hayward BART",,0,10005,shp-10-02,0,0
8224010,10,31,"Hayward BART",,0,10002,shp-10-02,0,0
2485020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
7691020,10,29,"Hayward BART",,0,10006,shp-10-02,0,0
8905020,10,29,"Hayward BART",,0,10006,shp-10-02,0,0
6502020,10,29,"Hayward BART",,0,10004,shp-10-02,0,0
11662020,10,29,"Hayward BART",,0,10005,shp-10-02,0,0
4303070,10,3,"Hayward BART",,0,10005,shp-10-02,0,0
13990070,10,3,"Hayward BART",,0,10003,shp-10-02,0,0
1132020,10,29,"Hayward BART",,0,10002,shp-10-02,0,0
7124010,10,31,"Hayward BART",,0,10006,shp-10-02,0,0
4223070,10,3,"Hayward BART",,0,10005,shp-10-02,0,0
12290020,10,29,"Hayward BART",,0,10004,shp-10-02,0,0
13907010,10,31,"Hayward BART",,0,10007,shp-10-02,0,0
3848020,10,29,"Hayward BART",,0,10006,shp-10-02,0,0
3689010,10,31,"Hayward BART",,0,10003,shp-10-02,0,0
6932070,10,3,"Hayward BART",,0,10007,shp-10-02,0,0
9535010,10,31,"Hayward BART",,0,10004,shp-10-02,0,0
10784010,10,31,"Hayward BART",,0,10003,shp-10-02,0,0
11692070,10,3,"Hayward BART",,0,10003,shp-10-02,0,0
5725020,10,29,"Hayward BART",,0,10002,shp-10-02,0,0
1562020,10,29,"Hayward BART",,0,10006,shp-10-02,0,0
8452070,10,3,"Hayward BART",,0,10002,shp-10-02,0,0
13533070,10,3,"Hayward BART",,0,10002,shp-10-02,0,0
13551020,10,29,"Hayward BART",,0,10003,shp-10-02,0,0
91020,10,29,"Hayward BART",,0,10005,shp-10-02,0,0
3536020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
12422070,10,3,"Hayward BART",,0,10007,shp-10-02,0,0
11307070,10,3,"Hayward BART",,0,10003,shp-10-02,0,0
7515010,10,31,"Hayward BART",,0,10002,shp-10-02,0,0
9666010,10,31,"Hayward BART",,0,10001,shp-10-02,0,0
10678020,10,29,"Hayward BART",,0,10002,shp-10-02,0,0
377010,10,31,"Hayward BART",,0,10006,shp-10-02,0,0
4039070,10,3,"Hayward BART",,0,10006,shp-10-02,0,0
7175010,10,31,"Hayward BART",,0,10004,shp-10-02,0,0
13721020,10,29,"Hayward BART",,0,10005,shp-10-02,0,0
1854070,10,3,"Hayward BART",,0,10005,shp-10-02,0,0
12825010,10,31,"Hayward BART",,0,10006,shp-10-02,0,0
5179010,10,31,"Hayward BART",,0,10002,shp-10-02,0,0
6129020,10,29,"Hayward BART",,0,10005,shp-10-02,0,0
11472070,10,3,"Hayward BART",,0,10002,shp-10-02,0,0
1676020,10,29,"Hayward BART",,0,10002,shp-10-02,0,0
4185010,10,31,"Hayward BART",,0,10003,shp-10-02,0,0
1989020,10,29,"Hayward BART",,0,10002,shp-10-02,0,0
5320070,10,3,"Hayward BART",,0,10001,shp-10-02,0,0
8053010,10,31,"Hayward BART",,0,10006,shp-10-02,0,0
6727020,10,29,"Hayward BART",,0,10006,shp-10-02,0,0
8834020,10,29,"Hayward BART",,0,10004,shp-10-02,0,0
33010,10,31,"Hayward BART",,0,10002,shp-10-02,0,0
5888020,10,29,"Hayward BART",,0,10003,shp-10-02,0,0
13468070,10,3,"Hayward BART",,0,10006,shp-10-02,0,0
6618020,10,29,"Hayward BART",,0,10001,shp-10-02,0,0
3872010,10,31,"Hayward BART",,0,10006,shp-10-02,0,0
8653070,10,3,"Hayward BART",,0,10001,shp-10-02,0,0
1925010,10,31,"Hayward BART",,0,10001,shp-10-02,0,0
10918010,10,31,"Hayward BART",,0,10001,shp-10-02,0,0
7936010,10,31,"Hayward BART",,0,10004,shp-10-02,0,0
13559020,10,29,"Hayward BART",,0,10002,shp-10-02,0,0
13155020,10,29,"Hayward BART",,0,10006,shp-10-02,0,0
2852020,10,29,"Hayward BART",,0,10003,shp-10-02,0,0
6449010,10,31,"Hayward BART",,0,10007,shp-10-02,0,0
3719070,10,3,"Hayward BART",,0,10002,shp-10-02,0,0
515020,10,29,"Hayward BART",,0,10006,shp-10-02,0,0
14262010,10,31,"Hayward BART",,0,10007,shp-10-02,0,0
1460020,10,29,"Hayward BART",,0,10002,shp-10-02,0,0
13966010,10,31,"Hayward BART",,0,10005,shp-10-02,0,0
4609020,10,29,"Hayward BART",,0,10004,shp-10-02,0,0
9362020,10,29,"Hayward BART",,0,10004,shp-10-02,0,0
10569070,10,3,"Hayward BART",,0,10001,shp-10-02,0,0
9656010,10,31,"Hayward BART",,0,10007,shp-10-02,0,0
13073070,10,3,"Hayward BART",,0,10002,shp-10-02,0,0
358020,10,29,"Hayward BART",,0,10006,shp-10-02,0,0
14143010,10,31,"Hayward BART",,0,10006,shp-10-02,0,0
10491010,10,31,"Hayward BART",,0,10007,shp-10-02,0,0
12656070,10,3,"Hayward BART",,0,10001,shp-10-02,0,0
14010010,10,31,"Hayward BART",,0,10003,shp-10-02,0,0
982070,10,3,"San Leandro BART",,1,10001,shp-10-01,0,0
2454010,10,31,"San Leandro BART",,1,10002,shp-10-01,0,0
13645070,10,3,"San Leandro BART",,1,10002,shp-10-01,0,0
6045070,10,3,"San Leandro BART",,1,10004,shp-10-01,0,0
12682010,10,31,"San Leandro BART",,1,10005,shp-10-01,0,0
11071020,10,29,"San Leandro BART",,1,10001,shp-10-01,0,0
8385020,10,29,"San Leandro BART",,1,10005,shp-10-01,0,0
7388010,10,31,"San Leandro BART",,1,10003,shp-10-01,0,0
917020,10,29,"San Leandro BART",,1,10003,shp-10-01,0,0
13932020,10,29,"San Leandro BART",,1,10001,shp-10-01,0,0
1719070,10,3,"San Leandro BART",,1,10007,shp-10-01,0,0
567070,10,3,"San Leandro BART",,1,10005,shp-10-01,0,0
3795010,10,31,"San Leandro BART",,1,10003,shp-10-01,0,0
